date,runAt,service,region,itemCount,productCount,skuCount,minRetailPrice,maxRetailPrice,averageRetailPrice,currency,truncated
2026-06-15,2026-06-15T20:50:01Z,Application Gateway,australiaeast,22,8,5,0.008,0.522,0.15022182,USD,False
2026-06-15,2026-06-15T20:50:01Z,Application Gateway,brazilsouth,18,7,5,0.008,0.72,0.20858,USD,False
2026-06-15,2026-06-15T20:50:01Z,Application Gateway,eastus,22,8,5,0.008,0.448,0.12017727,USD,False
2026-06-15,2026-06-15T20:50:01Z,Application Gateway,eastus2,22,8,5,0.008,0.448,0.12017727,USD,False
2026-06-15,2026-06-15T20:50:01Z,Application Gateway,japaneast,14,6,5,0.008,0.522,0.18805857,USD,False
2026-06-15,2026-06-15T20:50:01Z,Application Gateway,northeurope,22,8,5,0.008,0.50176,0.13672182,USD,False
2026-06-15,2026-06-15T20:50:01Z,Application Gateway,southeastasia,22,8,5,0.008,0.50176,0.14207636,USD,False
2026-06-15,2026-06-15T20:50:01Z,Application Gateway,swedencentral,17,7,5,0.0076,0.50176,0.14827176,USD,False
2026-06-15,2026-06-15T20:50:01Z,Application Gateway,westeurope,22,8,5,0.008,0.50176,0.14206727,USD,False
2026-06-15,2026-06-15T20:50:01Z,Application Gateway,westus2,18,7,5,0.008,0.448,0.13827222,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure App Service,australiaeast,124,20,67,0.016,80.0,3.33422719,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure App Service,brazilsouth,102,18,56,0.0158,80.0,2.96177998,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure App Service,eastus,113,16,62,0.017,80.0,3.05313451,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure App Service,eastus2,117,17,63,0.0,80.0,3.02458982,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure App Service,japaneast,128,21,68,0.0,80.0,3.31481827,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure App Service,northeurope,113,16,62,0.018,80.0,3.45700196,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure App Service,southeastasia,113,16,62,0.018,80.0,3.50719758,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure App Service,swedencentral,111,17,60,0.0,80.0,3.06190559,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure App Service,westeurope,117,17,63,0.0,80.0,3.48324291,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure App Service,westus2,117,17,63,0.0,80.0,3.01730191,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Cosmos DB,australiaeast,106,14,81,0.0,32.553,2.54770911,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Cosmos DB,brazilsouth,103,14,78,0.0,44.9,3.58415748,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Cosmos DB,eastus,99,14,76,0.0,22.45,2.07406196,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Cosmos DB,eastus2,99,14,76,0.0,22.45,2.07625388,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Cosmos DB,japaneast,106,14,81,0.0,32.553,2.5569471,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Cosmos DB,northeurope,106,14,81,0.0,26.94,2.21805191,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Cosmos DB,southeastasia,106,14,81,0.0,29.185,2.30645925,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Cosmos DB,swedencentral,97,14,73,0.0,29.185,2.587158,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Cosmos DB,westeurope,106,14,81,0.0,29.185,2.39201482,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Cosmos DB,westus2,99,14,76,0.0,22.45,2.04923503,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Database for PostgreSQL,australiaeast,107,41,48,0.0,76.343,4.33323421,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Database for PostgreSQL,brazilsouth,111,43,48,0.0,133.345,6.79866926,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Database for PostgreSQL,eastus,110,43,48,0.0,63.619,3.43568106,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Database for PostgreSQL,eastus2,111,44,48,0.0,63.619,3.40815691,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Database for PostgreSQL,japaneast,110,43,48,0.0,76.343,4.21765002,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Database for PostgreSQL,northeurope,112,45,48,0.0,71.253,3.76968572,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Database for PostgreSQL,southeastasia,110,43,48,0.0,76.343,4.21477941,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Database for PostgreSQL,swedencentral,104,41,47,0.0,65.4,3.73360233,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Database for PostgreSQL,westeurope,114,47,48,0.0,77.615,4.02451162,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Database for PostgreSQL,westus2,107,41,48,0.0,63.619,3.53051698,USD,False
2026-06-15,2026-06-15T20:50:01Z,Azure Kubernetes Service,australiaeast,8,1,1,0.010602,0.16,0.0385475,USD,False
